index,query,answer,subgraph_nodes,query_fig_name,answer_fig_name,main_relation,query_type,query_text,query_html,explanation_text,explanation_html
11,"(p,(Instantiation),(e,(it have long be PersonY contention)))",it fire the imagination,"['it have long be PersonY contention', 'it fire the imagination']",20220420-174733-batch-0-q-11.jpg,20220420-174733-batch-0-a-11.jpg,Instantiation,1p,the event V? is a more detailed description of it have long be PersonY contention. What is the event V? ?,"<span style=""color:red;"">the event V?</span> is a more detailed description of <span style=""color:red;"">it have long be PersonY contention</span>. What is the event V? ?",it fire the imagination is a more detailed description of it have long be PersonY contention.,"<span style=""color:red;"">it fire the imagination</span> is a more detailed description of <span style=""color:red;"">it have long be PersonY contention</span>."
12,"(p,(Synchronous),(e,(PersonX could even stand to be in the same room with PersonY)))",PersonY be PersonZ else,"['PersonX could even stand to be in the same room with PersonY', 'PersonY be PersonZ else']",20220420-174733-batch-0-q-12.jpg,20220420-174733-batch-0-a-12.jpg,Synchronous,1p,PersonX could even stand to be in the same room with PersonY happens the same time as the event V?. What is the event V? ?,"<span style=""color:red;"">PersonX could even stand to be in the same room with PersonY</span> happens the same time as <span style=""color:red;"">the event V?</span>. What is the event V? ?",PersonX could even stand to be in the same room with PersonY happens the same time as PersonY be PersonZ else.,"<span style=""color:red;"">PersonX could even stand to be in the same room with PersonY</span> happens the same time as <span style=""color:red;"">PersonY be PersonZ else</span>."
13,"(p,(ChosenAlternative),(e,(PersonX be go to downvote PersonY)))",PersonX be go to give,"['PersonX be go to downvote PersonY', 'PersonX be go to give']",20220420-174733-batch-0-q-13.jpg,20220420-174733-batch-0-a-13.jpg,ChosenAlternative,1p,PersonX be go to downvote PersonY is a preferred alternative situation to the event V?. What is the event V? ?,"<span style=""color:red;"">PersonX be go to downvote PersonY</span> is a preferred alternative situation to <span style=""color:red;"">the event V?</span>. What is the event V? ?",PersonX be go to downvote PersonY and PersonX be go to give share significant difference regarding some property. PersonX be go to downvote PersonY is a preferred alternative situation to PersonX be go to give.,"<span style=""color:red;"">PersonX be go to downvote PersonY</span> and <span style=""color:red;"">PersonX be go to give</span> share significant difference regarding some property. <span style=""color:red;"">PersonX be go to downvote PersonY</span> is a preferred alternative situation to <span style=""color:red;"">PersonX be go to give</span>."
14,"(p,(Result),(e,(PersonX could mute PeopleX)))",PersonX do not have to listen to PeopleX,"['PersonX could mute PeopleX', 'PersonX do not have to listen to PeopleX']",20220420-174733-batch-0-q-14.jpg,20220420-174733-batch-0-a-14.jpg,Result,1p,PersonX could mute PeopleX result in the event V?. What is the event V? ?,"<span style=""color:red;"">PersonX could mute PeopleX</span> result in <span style=""color:red;"">the event V?</span>. What is the event V? ?",PersonX could mute PeopleX result in PersonX do not have to listen to PeopleX.,"<span style=""color:red;"">PersonX could mute PeopleX</span> result in <span style=""color:red;"">PersonX do not have to listen to PeopleX</span>."
15,"(p,(Condition),(e,(PersonX would like to love PersonY)))",PersonY would let PersonX,"['PersonX would like to love PersonY', 'PersonY would let PersonX']",20220420-174733-batch-0-q-15.jpg,20220420-174733-batch-0-a-15.jpg,Condition,1p,"When the event V? happens, PersonX would like to love PersonY can happen. What is the event V? ?","When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">PersonX would like to love PersonY</span> can happen. What is the event V? ?","When PersonY would let PersonX happens, PersonX would like to love PersonY can happen.","When <span style=""color:red;"">PersonY would let PersonX</span> happens, <span style=""color:red;"">PersonX would like to love PersonY</span> can happen."
16,"(p,(Alternative),(e,(PersonX can go back to punxsutawney)))",PersonX can freeze to death,"['PersonX can go back to punxsutawney', 'PersonX can freeze to death']",20220420-174733-batch-0-q-16.jpg,20220420-174733-batch-0-a-16.jpg,Alternative,1p,PersonX can go back to punxsutawney is an alternative situation to the event V?. What is the event V? ?,"<span style=""color:red;"">PersonX can go back to punxsutawney</span> is an alternative situation to <span style=""color:red;"">the event V?</span>. What is the event V? ?",PersonX can go back to punxsutawney is an alternative situation to PersonX can freeze to death.,"<span style=""color:red;"">PersonX can go back to punxsutawney</span> is an alternative situation to <span style=""color:red;"">PersonX can freeze to death</span>."
17,"(p,(Alternative),(e,(PersonX can go back to punxsutawney)))",PersonX can go ahead,"['PersonX can go back to punxsutawney', 'PersonX can go ahead']",20220420-174733-batch-0-q-17.jpg,20220420-174733-batch-0-a-17.jpg,Alternative,1p,PersonX can go back to punxsutawney is an alternative situation to the event V?. What is the event V? ?,"<span style=""color:red;"">PersonX can go back to punxsutawney</span> is an alternative situation to <span style=""color:red;"">the event V?</span>. What is the event V? ?",PersonX can go back to punxsutawney is an alternative situation to PersonX can go ahead.,"<span style=""color:red;"">PersonX can go back to punxsutawney</span> is an alternative situation to <span style=""color:red;"">PersonX can go ahead</span>."
18,"(p,(Alternative),(e,(PersonX can go back to punxsutawney)))",PersonX freeze to death,"['PersonX can go back to punxsutawney', 'PersonX freeze to death']",20220420-174733-batch-0-q-18.jpg,20220420-174733-batch-0-a-18.jpg,Alternative,1p,PersonX can go back to punxsutawney is an alternative situation to the event V?. What is the event V? ?,"<span style=""color:red;"">PersonX can go back to punxsutawney</span> is an alternative situation to <span style=""color:red;"">the event V?</span>. What is the event V? ?",PersonX can go back to punxsutawney is an alternative situation to PersonX freeze to death.,"<span style=""color:red;"">PersonX can go back to punxsutawney</span> is an alternative situation to <span style=""color:red;"">PersonX freeze to death</span>."
19,"(p,(Condition),(e,(PeopleX will ask PersonY to dinner)))",PersonX will meet PersonY,"['PeopleX will ask PersonY to dinner', 'PersonX will meet PersonY']",20220420-174733-batch-0-q-19.jpg,20220420-174733-batch-0-a-19.jpg,Condition,1p,"When the event V? happens, PeopleX will ask PersonY to dinner can happen. What is the event V? ?","When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">PeopleX will ask PersonY to dinner</span> can happen. What is the event V? ?","When PersonX will meet PersonY happens, PeopleX will ask PersonY to dinner can happen.","When <span style=""color:red;"">PersonX will meet PersonY</span> happens, <span style=""color:red;"">PeopleX will ask PersonY to dinner</span> can happen."
20,"(p,(Concession),(p,(Result),(e,(PersonX can learn from PeopleX))))",PersonX do not know any other,"['PersonX can learn from PeopleX', 'PersonX will not repeat PeopleX', 'PersonX do not know any other']",20220420-174733-batch-0-q-20.jpg,20220420-174733-batch-0-a-20.jpg,Concession,2p,PersonX can learn from PeopleX result in the event V0. the event V? happens although the event V0. What is the event V? ?,"<span style=""color:red;"">PersonX can learn from PeopleX</span> result in <span style=""color:red;"">the event V0</span>. <span style=""color:red;"">the event V?</span> happens although <span style=""color:red;"">the event V0</span>. What is the event V? ?",PersonX can learn from PeopleX result in PersonX will not repeat PeopleX. PersonX do not know any other happens although PersonX will not repeat PeopleX.,"<span style=""color:red;"">PersonX can learn from PeopleX</span> result in <span style=""color:red;"">PersonX will not repeat PeopleX</span>. <span style=""color:red;"">PersonX do not know any other</span> happens although <span style=""color:red;"">PersonX will not repeat PeopleX</span>."
21,"(p,(Condition),(p,(Condition),(e,(it can happen to PersonY))))",it can happen to PersonX,"['it can happen to PersonY', 'it can happen to PeopleX', 'it can happen to PersonX']",20220420-174733-batch-0-q-21.jpg,20220420-174733-batch-0-a-21.jpg,Condition,2p,"When the event V0 happens, it can happen to PersonY can happen. When the event V? happens, the event V0 can happen. What is the event V? ?","When <span style=""color:red;"">the event V0</span> happens, <span style=""color:red;"">it can happen to PersonY</span> can happen. When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">the event V0</span> can happen. What is the event V? ?","When it can happen to PeopleX happens, it can happen to PersonX can happen. When it can happen to PersonY happens, it can happen to PersonX can happen. When it can happen to PersonX happens, it can happen to PeopleX can happen. When it can happen to PersonY happens, it can happen to PeopleX can happen. When it can happen to PeopleX happens, it can happen to PersonY can happen. When it can happen to PersonX happens, it can happen to PersonY can happen.","When <span style=""color:red;"">it can happen to PeopleX</span> happens, <span style=""color:red;"">it can happen to PersonX</span> can happen. When <span style=""color:red;"">it can happen to PersonY</span> happens, <span style=""color:red;"">it can happen to PersonX</span> can happen. When <span style=""color:red;"">it can happen to PersonX</span> happens, <span style=""color:red;"">it can happen to PeopleX</span> can happen. When <span style=""color:red;"">it can happen to PersonY</span> happens, <span style=""color:red;"">it can happen to PeopleX</span> can happen. When <span style=""color:red;"">it can happen to PeopleX</span> happens, <span style=""color:red;"">it can happen to PersonY</span> can happen. When <span style=""color:red;"">it can happen to PersonX</span> happens, <span style=""color:red;"">it can happen to PersonY</span> can happen."
23,"(p,(Condition),(p,(Condition),(e,(it can happen to PersonY))))",it can happen to PeopleX,"['it can happen to PersonY', 'it can happen to PersonX', 'it can happen to PeopleX']",20220420-174733-batch-0-q-23.jpg,20220420-174733-batch-0-a-23.jpg,Condition,2p,"When the event V0 happens, it can happen to PersonY can happen. When the event V? happens, the event V0 can happen. What is the event V? ?","When <span style=""color:red;"">the event V0</span> happens, <span style=""color:red;"">it can happen to PersonY</span> can happen. When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">the event V0</span> can happen. What is the event V? ?","When it can happen to PeopleX happens, it can happen to PersonX can happen. When it can happen to PersonY happens, it can happen to PersonX can happen. When it can happen to PersonX happens, it can happen to PeopleX can happen. When it can happen to PersonY happens, it can happen to PeopleX can happen. When it can happen to PeopleX happens, it can happen to PersonY can happen. When it can happen to PersonX happens, it can happen to PersonY can happen.","When <span style=""color:red;"">it can happen to PeopleX</span> happens, <span style=""color:red;"">it can happen to PersonX</span> can happen. When <span style=""color:red;"">it can happen to PersonY</span> happens, <span style=""color:red;"">it can happen to PersonX</span> can happen. When <span style=""color:red;"">it can happen to PersonX</span> happens, <span style=""color:red;"">it can happen to PeopleX</span> can happen. When <span style=""color:red;"">it can happen to PersonY</span> happens, <span style=""color:red;"">it can happen to PeopleX</span> can happen. When <span style=""color:red;"">it can happen to PeopleX</span> happens, <span style=""color:red;"">it can happen to PersonY</span> can happen. When <span style=""color:red;"">it can happen to PersonX</span> happens, <span style=""color:red;"">it can happen to PersonY</span> can happen."
24,"(p,(Restatement),(p,(Condition),(e,(PersonX would say go))))",it be of no interest to PersonX,"['PersonX would say go', 'PersonY can go to house', 'it be of no interest to PersonX']",20220420-174733-batch-0-q-24.jpg,20220420-174733-batch-0-a-24.jpg,Restatement,2p,"When the event V0 happens, PersonX would say go can happen. the event V? restates the event V0. What is the event V? ?","When <span style=""color:red;"">the event V0</span> happens, <span style=""color:red;"">PersonX would say go</span> can happen. <span style=""color:red;"">the event V?</span> restates <span style=""color:red;"">the event V0</span>. What is the event V? ?","When PersonY can go to house happens, PersonX would say go can happen. it be of no interest to PersonX restates PersonY can go to house.","When <span style=""color:red;"">PersonY can go to house</span> happens, <span style=""color:red;"">PersonX would say go</span> can happen. <span style=""color:red;"">it be of no interest to PersonX</span> restates <span style=""color:red;"">PersonY can go to house</span>."
25,"(p,(Precedence),(p,(Reason),(e,(PersonX PersonZ be interested))))",the wheel come off,"['PersonX PersonZ be interested', 'PersonY could play joe-fucking-hollywood', 'the wheel come off']",20220420-174733-batch-0-q-25.jpg,20220420-174733-batch-0-a-25.jpg,Precedence,2p,PersonX PersonZ be interested happens because the event V0. the event V0 happens before the event V?. What is the event V? ?,"<span style=""color:red;"">PersonX PersonZ be interested</span> happens because <span style=""color:red;"">the event V0</span>. <span style=""color:red;"">the event V0</span> happens before <span style=""color:red;"">the event V?</span>. What is the event V? ?",PersonY could play joe-fucking-hollywood happens before the wheel come off. PersonX PersonZ be interested happens because PersonY could play joe-fucking-hollywood.,"<span style=""color:red;"">PersonY could play joe-fucking-hollywood</span> happens before <span style=""color:red;"">the wheel come off</span>. <span style=""color:red;"">PersonX PersonZ be interested</span> happens because <span style=""color:red;"">PersonY could play joe-fucking-hollywood</span>."
26,"(p,(Conjunction),(p,(Conjunction),(e,(PersonX beat the soviet union))))",the cold war end,"['PersonX beat the soviet union', 'the soviet union collapse', 'the cold war end']",20220420-174733-batch-0-q-26.jpg,20220420-174733-batch-0-a-26.jpg,Conjunction,2p,PersonX beat the soviet union and the event V0 both happen. the event V0 and the event V? both happen. What is the event V? ?,"<span style=""color:red;"">PersonX beat the soviet union</span> and <span style=""color:red;"">the event V0</span> both happen. <span style=""color:red;"">the event V0</span> and <span style=""color:red;"">the event V?</span> both happen. What is the event V? ?",the cold war end and the soviet union collapse both happen. PersonX beat the soviet union and the soviet union collapse both happen. the soviet union collapse and the cold war end both happen.,"<span style=""color:red;"">the cold war end</span> and <span style=""color:red;"">the soviet union collapse</span> both happen. <span style=""color:red;"">PersonX beat the soviet union</span> and <span style=""color:red;"">the soviet union collapse</span> both happen. <span style=""color:red;"">the soviet union collapse</span> and <span style=""color:red;"">the cold war end</span> both happen."
27,"(p,(Conjunction),(p,(Conjunction),(e,(PersonX beat the soviet union))))",the berlin wall fall,"['PersonX beat the soviet union', 'the soviet union collapse', 'the berlin wall fall']",20220420-174733-batch-0-q-27.jpg,20220420-174733-batch-0-a-27.jpg,Conjunction,2p,PersonX beat the soviet union and the event V0 both happen. the event V0 and the event V? both happen. What is the event V? ?,"<span style=""color:red;"">PersonX beat the soviet union</span> and <span style=""color:red;"">the event V0</span> both happen. <span style=""color:red;"">the event V0</span> and <span style=""color:red;"">the event V?</span> both happen. What is the event V? ?",the berlin wall fall and the soviet union collapse both happen. PersonX beat the soviet union and the soviet union collapse both happen. the soviet union collapse and the berlin wall fall both happen.,"<span style=""color:red;"">the berlin wall fall</span> and <span style=""color:red;"">the soviet union collapse</span> both happen. <span style=""color:red;"">PersonX beat the soviet union</span> and <span style=""color:red;"">the soviet union collapse</span> both happen. <span style=""color:red;"">the soviet union collapse</span> and <span style=""color:red;"">the berlin wall fall</span> both happen."
28,"(p,(Conjunction),(p,(Conjunction),(e,(PersonX beat the soviet union))))",a civil war break out,"['PersonX beat the soviet union', 'the soviet union collapse', 'a civil war break out']",20220420-174733-batch-0-q-28.jpg,20220420-174733-batch-0-a-28.jpg,Conjunction,2p,PersonX beat the soviet union and the event V0 both happen. the event V0 and the event V? both happen. What is the event V? ?,"<span style=""color:red;"">PersonX beat the soviet union</span> and <span style=""color:red;"">the event V0</span> both happen. <span style=""color:red;"">the event V0</span> and <span style=""color:red;"">the event V?</span> both happen. What is the event V? ?",PersonX beat the soviet union and the soviet union collapse both happen. the soviet union collapse and a civil war break out both happen.,"<span style=""color:red;"">PersonX beat the soviet union</span> and <span style=""color:red;"">the soviet union collapse</span> both happen. <span style=""color:red;"">the soviet union collapse</span> and <span style=""color:red;"">a civil war break out</span> both happen."
29,"(p,(ChosenAlternative),(p,(Condition),(e,(it would be a real charity))))",PersonY shrink away,"['it would be a real charity', 'PersonY would come to PersonX', 'PersonY shrink away']",20220420-174733-batch-0-q-29.jpg,20220420-174733-batch-0-a-29.jpg,ChosenAlternative,2p,"When the event V0 happens, it would be a real charity can happen. the event V0 is a preferred alternative situation to the event V?. What is the event V? ?","When <span style=""color:red;"">the event V0</span> happens, <span style=""color:red;"">it would be a real charity</span> can happen. <span style=""color:red;"">the event V0</span> is a preferred alternative situation to <span style=""color:red;"">the event V?</span>. What is the event V? ?","When PersonY would come to PersonX happens, it would be a real charity can happen. PersonY would come to PersonX and PersonY shrink away share significant difference regarding some property. PersonY would come to PersonX is a preferred alternative situation to PersonY shrink away.","When <span style=""color:red;"">PersonY would come to PersonX</span> happens, <span style=""color:red;"">it would be a real charity</span> can happen. <span style=""color:red;"">PersonY would come to PersonX</span> and <span style=""color:red;"">PersonY shrink away</span> share significant difference regarding some property. <span style=""color:red;"">PersonY would come to PersonX</span> is a preferred alternative situation to <span style=""color:red;"">PersonY shrink away</span>."
30,"(p,(ChosenAlternative),(p,(Condition),(e,(it would be a real charity))))",PersonX shrink away,"['it would be a real charity', 'PersonX would come to PersonY', 'PersonX shrink away']",20220420-174733-batch-0-q-30.jpg,20220420-174733-batch-0-a-30.jpg,ChosenAlternative,2p,"When the event V0 happens, it would be a real charity can happen. the event V0 is a preferred alternative situation to the event V?. What is the event V? ?","When <span style=""color:red;"">the event V0</span> happens, <span style=""color:red;"">it would be a real charity</span> can happen. <span style=""color:red;"">the event V0</span> is a preferred alternative situation to <span style=""color:red;"">the event V?</span>. What is the event V? ?","When PersonX would come to PersonY happens, it would be a real charity can happen. PersonX would come to PersonY and PersonX shrink away share significant difference regarding some property. PersonX would come to PersonY is a preferred alternative situation to PersonX shrink away.","When <span style=""color:red;"">PersonX would come to PersonY</span> happens, <span style=""color:red;"">it would be a real charity</span> can happen. <span style=""color:red;"">PersonX would come to PersonY</span> and <span style=""color:red;"">PersonX shrink away</span> share significant difference regarding some property. <span style=""color:red;"">PersonX would come to PersonY</span> is a preferred alternative situation to <span style=""color:red;"">PersonX shrink away</span>."
31,"(p,(ChosenAlternative),(p,(Condition),(e,(PersonX will be doom))))",PersonX draw himself up to height,"['PersonX will be doom', 'PersonX do not retreat', 'PersonX draw himself up to height']",20220420-174733-batch-0-q-31.jpg,20220420-174733-batch-0-a-31.jpg,ChosenAlternative,2p,"When the event V0 happens, PersonX will be doom can happen. the event V0 is a preferred alternative situation to the event V?. What is the event V? ?","When <span style=""color:red;"">the event V0</span> happens, <span style=""color:red;"">PersonX will be doom</span> can happen. <span style=""color:red;"">the event V0</span> is a preferred alternative situation to <span style=""color:red;"">the event V?</span>. What is the event V? ?","PersonX do not retreat is a preferred alternative situation to PersonX draw himself up to height. When PersonX do not retreat happens, PersonX will be doom can happen.","<span style=""color:red;"">PersonX do not retreat</span> is a preferred alternative situation to <span style=""color:red;"">PersonX draw himself up to height</span>. When <span style=""color:red;"">PersonX do not retreat</span> happens, <span style=""color:red;"">PersonX will be doom</span> can happen."
33,"(p,(Alternative),(p,(Alternative),(e,(PeopleX can do the hard way))))",PeopleX can do it the hard way,"['PeopleX can do the hard way', 'PeopleX can do the easy way', 'PeopleX can do it the hard way']",20220420-174733-batch-0-q-33.jpg,20220420-174733-batch-0-a-33.jpg,Alternative,2p,PeopleX can do the hard way is an alternative situation to the event V0. the event V0 is an alternative situation to the event V?. What is the event V? ?,"<span style=""color:red;"">PeopleX can do the hard way</span> is an alternative situation to <span style=""color:red;"">the event V0</span>. <span style=""color:red;"">the event V0</span> is an alternative situation to <span style=""color:red;"">the event V?</span>. What is the event V? ?",PeopleX can do the hard way is an alternative situation to PeopleX can do the easy way. PeopleX can do the easy way is an alternative situation to PeopleX can do the hard way. PeopleX can do the easy way is an alternative situation to PeopleX can do it the hard way.,"<span style=""color:red;"">PeopleX can do the hard way</span> is an alternative situation to <span style=""color:red;"">PeopleX can do the easy way</span>. <span style=""color:red;"">PeopleX can do the easy way</span> is an alternative situation to <span style=""color:red;"">PeopleX can do the hard way</span>. <span style=""color:red;"">PeopleX can do the easy way</span> is an alternative situation to <span style=""color:red;"">PeopleX can do it the hard way</span>."
34,"(p,(Alternative),(p,(Alternative),(e,(PeopleX can do the hard way))))",PeopleX could do it the hard way,"['PeopleX can do the hard way', 'PeopleX can do the easy way', 'PeopleX could do it the hard way']",20220420-174733-batch-0-q-34.jpg,20220420-174733-batch-0-a-34.jpg,Alternative,2p,PeopleX can do the hard way is an alternative situation to the event V0. the event V0 is an alternative situation to the event V?. What is the event V? ?,"<span style=""color:red;"">PeopleX can do the hard way</span> is an alternative situation to <span style=""color:red;"">the event V0</span>. <span style=""color:red;"">the event V0</span> is an alternative situation to <span style=""color:red;"">the event V?</span>. What is the event V? ?",PeopleX can do the hard way is an alternative situation to PeopleX can do the easy way. PeopleX can do the easy way is an alternative situation to PeopleX can do the hard way. PeopleX can do the easy way is an alternative situation to PeopleX could do it the hard way.,"<span style=""color:red;"">PeopleX can do the hard way</span> is an alternative situation to <span style=""color:red;"">PeopleX can do the easy way</span>. <span style=""color:red;"">PeopleX can do the easy way</span> is an alternative situation to <span style=""color:red;"">PeopleX can do the hard way</span>. <span style=""color:red;"">PeopleX can do the easy way</span> is an alternative situation to <span style=""color:red;"">PeopleX could do it the hard way</span>."
35,"(p,(Restatement),(p,(Result),(e,(PersonY will pour a scotch))))",PersonX be PersonY soul,"['PersonY will pour a scotch', 'PersonX be PersonY conscience', 'PersonX be PersonY soul']",20220420-174733-batch-0-q-35.jpg,20220420-174733-batch-0-a-35.jpg,Restatement,2p,PersonY will pour a scotch result in the event V0. the event V? restates the event V0. What is the event V? ?,"<span style=""color:red;"">PersonY will pour a scotch</span> result in <span style=""color:red;"">the event V0</span>. <span style=""color:red;"">the event V?</span> restates <span style=""color:red;"">the event V0</span>. What is the event V? ?",PersonY will pour a scotch and PersonX be PersonY conscience both happen. PersonY will pour a scotch result in PersonX be PersonY conscience. PersonX be PersonY soul restates PersonX be PersonY conscience.,"<span style=""color:red;"">PersonY will pour a scotch</span> and <span style=""color:red;"">PersonX be PersonY conscience</span> both happen. <span style=""color:red;"">PersonY will pour a scotch</span> result in <span style=""color:red;"">PersonX be PersonY conscience</span>. <span style=""color:red;"">PersonX be PersonY soul</span> restates <span style=""color:red;"">PersonX be PersonY conscience</span>."
36,"(p,(Succession),(p,(Restatement),(e,(government get too big))))",PersonX have install it,"['government get too big', 'PersonX need to do anything', 'PersonX have install it']",20220420-174733-batch-0-q-36.jpg,20220420-174733-batch-0-a-36.jpg,Restatement,2p,the event V0 restates government get too big. the event V0 happens after the event V?. What is the event V? ?,"<span style=""color:red;"">the event V0</span> restates <span style=""color:red;"">government get too big</span>. <span style=""color:red;"">the event V0</span> happens after <span style=""color:red;"">the event V?</span>. What is the event V? ?",PersonX need to do anything restates government get too big. PersonX need to do anything happens after PersonX have install it.,"<span style=""color:red;"">PersonX need to do anything</span> restates <span style=""color:red;"">government get too big</span>. <span style=""color:red;"">PersonX need to do anything</span> happens after <span style=""color:red;"">PersonX have install it</span>."
