index,query,answer,subgraph_nodes,query_fig_name,answer_fig_name,main_relation,query_type,query_text,query_html,explanation_text,explanation_html,baseline_with_explanation,baseline_without_explanation
17,"(p,(Conjunction),(e,(PersonX will not talk to PersonY anymore)))",PersonY do not talk to PersonX now,"['PersonX will not talk to PersonY anymore', 'PersonY do not talk to PersonX now']",20220401-144420_q17.png,20220401-144420_a17.png,Conjunction,1p,PersonX will not talk to PersonY anymore and the eventuality V? both happen. What is the eventuality V? ?,"<span style=""color:red;"">PersonX will not talk to PersonY anymore</span> and <span style=""color:red;"">the eventuality V?</span> both happen. What is the eventuality V? ?",PersonX will not talk to PersonY anymore and PersonY do not talk to PersonX now both happen.,"<span style=""color:red;"">PersonX will not talk to PersonY anymore</span> and <span style=""color:red;"">PersonY do not talk to PersonX now</span> both happen.",no,no
18,"(p,(Conjunction),(e,(PersonX will not talk to PersonY anymore)))",PersonX will hate PersonY,"['PersonX will not talk to PersonY anymore', 'PersonX will hate PersonY']",20220401-144420_q18.png,20220401-144420_a18.png,Conjunction,1p,PersonX will not talk to PersonY anymore and the eventuality V? both happen. What is the eventuality V? ?,"<span style=""color:red;"">PersonX will not talk to PersonY anymore</span> and <span style=""color:red;"">the eventuality V?</span> both happen. What is the eventuality V? ?",PersonX will not talk to PersonY anymore and PersonX will hate PersonY both happen.,"<span style=""color:red;"">PersonX will not talk to PersonY anymore</span> and <span style=""color:red;"">PersonX will hate PersonY</span> both happen.",no,no
19,"(p,(Contrast),(e,(PersonX do not know a lot about buddhism)))",PersonX have a great deal of respect,"['PersonX do not know a lot about buddhism', 'PersonX have a great deal of respect']",20220401-144420_q19.png,20220401-144420_a19.png,Contrast,1p,PersonX do not know a lot about buddhism and the eventuality V? share significant difference regarding some property. What is the eventuality V? ?,"<span style=""color:red;"">PersonX do not know a lot about buddhism</span> and <span style=""color:red;"">the eventuality V?</span> share significant difference regarding some property. What is the eventuality V? ?",PersonX do not know a lot about buddhism and PersonX have a great deal of respect share significant difference regarding some property.,"<span style=""color:red;"">PersonX do not know a lot about buddhism</span> and <span style=""color:red;"">PersonX have a great deal of respect</span> share significant difference regarding some property.",no,no
20,"(p,(Exception),(e,(the file be the same)))",PeopleX tag,"['the file be the same', 'PeopleX tag']",20220401-144420_q20.png,20220401-144420_a20.png,Exception,1p,the eventuality V? is an exception of the file be the same. What is the eventuality V? ?,"<span style=""color:red;"">the eventuality V?</span> is an exception of <span style=""color:red;"">the file be the same</span>. What is the eventuality V? ?",PeopleX tag is an exception of the file be the same.,"<span style=""color:red;"">PeopleX tag</span> is an exception of <span style=""color:red;"">the file be the same</span>.",no,no
21,"(p,(Exception),(e,(the file be the same)))",PeopleX have be rename,"['the file be the same', 'PeopleX have be rename']",20220401-144420_q21.png,20220401-144420_a21.png,Exception,1p,the eventuality V? is an exception of the file be the same. What is the eventuality V? ?,"<span style=""color:red;"">the eventuality V?</span> is an exception of <span style=""color:red;"">the file be the same</span>. What is the eventuality V? ?",PeopleX have be rename is an exception of the file be the same.,"<span style=""color:red;"">PeopleX have be rename</span> is an exception of <span style=""color:red;"">the file be the same</span>.",no,no
22,"(p,(Concession),(e,(PersonX can have a massive impact)))",nobody will see it,"['PersonX can have a massive impact', 'nobody will see it']",20220401-144420_q22.png,20220401-144420_a22.png,Concession,1p,the eventuality V? happens although PersonX can have a massive impact. What is the eventuality V? ?,"<span style=""color:red;"">the eventuality V?</span> happens although <span style=""color:red;"">PersonX can have a massive impact</span>. What is the eventuality V? ?",nobody will see it happens although PersonX can have a massive impact.,"<span style=""color:red;"">nobody will see it</span> happens although <span style=""color:red;"">PersonX can have a massive impact</span>.",no,no
23,"(p,(Restatement),(e,(PersonX be to the repulsiveness of form)))",the lord have put forth a invisible hand,"['PersonX be to the repulsiveness of form', 'the lord have put forth a invisible hand']",20220401-144420_q23.png,20220401-144420_a23.png,Restatement,1p,the eventuality V? restates PersonX be to the repulsiveness of form. What is the eventuality V? ?,"<span style=""color:red;"">the eventuality V?</span> restates <span style=""color:red;"">PersonX be to the repulsiveness of form</span>. What is the eventuality V? ?",the lord have put forth a invisible hand restates PersonX be to the repulsiveness of form.,"<span style=""color:red;"">the lord have put forth a invisible hand</span> restates <span style=""color:red;"">PersonX be to the repulsiveness of form</span>.",no,no
24,"(p,(Instantiation),(p,(Instantiation),(e,(PersonY watch tennis on television))))",first serve,"['PersonY watch tennis on television', 'the common statistic be first-serve percentage', 'first serve']",20220401-144420_q24.png,20220401-144420_a24.png,Instantiation,2p,the eventuality V0 is a more detailed description of PersonY watch tennis on television. the eventuality V? is a more detailed description of the eventuality V0. What is the eventuality V? ?,"<span style=""color:red;"">the eventuality V0</span> is a more detailed description of <span style=""color:red;"">PersonY watch tennis on television</span>. <span style=""color:red;"">the eventuality V?</span> is a more detailed description of <span style=""color:red;"">the eventuality V0</span>. What is the eventuality V? ?",first serve is a more detailed description of PersonY watch tennis on television. the common statistic be first-serve percentage is a more detailed description of PersonY watch tennis on television. first serve is a more detailed description of the common statistic be first-serve percentage.,"<span style=""color:red;"">first serve</span> is a more detailed description of <span style=""color:red;"">PersonY watch tennis on television</span>. <span style=""color:red;"">the common statistic be first-serve percentage</span> is a more detailed description of <span style=""color:red;"">PersonY watch tennis on television</span>. <span style=""color:red;"">first serve</span> is a more detailed description of <span style=""color:red;"">the common statistic be first-serve percentage</span>.",yes,yes
26,"(p,(Conjunction),(p,(Condition),(e,(PersonY will take care of PersonX))))",PersonX will take care of PersonZ,"['PersonY will take care of PersonX', 'PersonX will take care of PersonY', 'PersonX will take care of PersonZ']",20220401-144420_q26.png,20220401-144420_a26.png,Conjunction,2p,"When the eventuality V0 happens, PersonY will take care of PersonX can happen. the eventuality V0 and the eventuality V? both happen. What is the eventuality V? ?","When <span style=""color:red;"">the eventuality V0</span> happens, <span style=""color:red;"">PersonY will take care of PersonX</span> can happen. <span style=""color:red;"">the eventuality V0</span> and <span style=""color:red;"">the eventuality V?</span> both happen. What is the eventuality V? ?","PersonX will take care of PersonY happens the same time as PersonY will take care of PersonX. When PersonY will take care of PersonX happens, PersonX will take care of PersonY can happen. PersonX will take care of PersonY and PersonY will take care of PersonX both happen. PersonX will take care of PersonY happens before PersonX will take care of PersonZ. PersonX will take care of PersonY and PersonX will take care of PersonZ both happen. PersonY will take care of PersonX happens the same time as PersonX will take care of PersonY. When PersonX will take care of PersonY happens, PersonY will take care of PersonX can happen. PersonY will take care of PersonX and PersonX will take care of PersonY both happen.","<span style=""color:red;"">PersonX will take care of PersonY</span> happens the same time as <span style=""color:red;"">PersonY will take care of PersonX</span>. When <span style=""color:red;"">PersonY will take care of PersonX</span> happens, <span style=""color:red;"">PersonX will take care of PersonY</span> can happen. <span style=""color:red;"">PersonX will take care of PersonY</span> and <span style=""color:red;"">PersonY will take care of PersonX</span> both happen. <span style=""color:red;"">PersonX will take care of PersonY</span> happens before <span style=""color:red;"">PersonX will take care of PersonZ</span>. <span style=""color:red;"">PersonX will take care of PersonY</span> and <span style=""color:red;"">PersonX will take care of PersonZ</span> both happen. <span style=""color:red;"">PersonY will take care of PersonX</span> happens the same time as <span style=""color:red;"">PersonX will take care of PersonY</span>. When <span style=""color:red;"">PersonX will take care of PersonY</span> happens, <span style=""color:red;"">PersonY will take care of PersonX</span> can happen. <span style=""color:red;"">PersonY will take care of PersonX</span> and <span style=""color:red;"">PersonX will take care of PersonY</span> both happen.",yes,yes
27,"(p,(Conjunction),(p,(Condition),(e,(PersonY will take care of PersonX))))",PersonY have have a heart attack,"['PersonY will take care of PersonX', 'PersonX have a heart attack', 'PersonY have have a heart attack']",20220401-144420_q27.png,20220401-144420_a27.png,Conjunction,2p,"When the eventuality V0 happens, PersonY will take care of PersonX can happen. the eventuality V0 and the eventuality V? both happen. What is the eventuality V? ?","When <span style=""color:red;"">the eventuality V0</span> happens, <span style=""color:red;"">PersonY will take care of PersonX</span> can happen. <span style=""color:red;"">the eventuality V0</span> and <span style=""color:red;"">the eventuality V?</span> both happen. What is the eventuality V? ?","When PersonX have a heart attack happens, PersonY will take care of PersonX can happen. PersonX have a heart attack and PersonY have have a heart attack both happen.","When <span style=""color:red;"">PersonX have a heart attack</span> happens, <span style=""color:red;"">PersonY will take care of PersonX</span> can happen. <span style=""color:red;"">PersonX have a heart attack</span> and <span style=""color:red;"">PersonY have have a heart attack</span> both happen.",yes,no
28,"(p,(Result),(p,(Succession),(e,(PeopleX be suggest to PersonX))))",PersonX can not speak from experience,"['PeopleX be suggest to PersonX', 'PersonX make PersonX twitter account', 'PersonX can not speak from experience']",20220401-144420_q28.png,20220401-144420_a28.png,Succession,2p,PeopleX be suggest to PersonX happens after the eventuality V0. the eventuality V0 result in the eventuality V?. What is the eventuality V? ?,"<span style=""color:red;"">PeopleX be suggest to PersonX</span> happens after <span style=""color:red;"">the eventuality V0</span>. <span style=""color:red;"">the eventuality V0</span> result in <span style=""color:red;"">the eventuality V?</span>. What is the eventuality V? ?",PersonX make PersonX twitter account result in PersonX can not speak from experience. PeopleX be suggest to PersonX happens after PersonX make PersonX twitter account.,"<span style=""color:red;"">PersonX make PersonX twitter account</span> result in <span style=""color:red;"">PersonX can not speak from experience</span>. <span style=""color:red;"">PeopleX be suggest to PersonX</span> happens after <span style=""color:red;"">PersonX make PersonX twitter account</span>.",no,no
29,"(p,(Concession),(p,(Precedence),(e,(PersonX would rather not be cut))))",PersonX wan na play,"['PersonX would rather not be cut', 'it probably do not make a huge difference', 'PersonX wan na play']",20220401-144420_q29.png,20220401-144420_a29.png,Concession,2p,PersonX would rather not be cut happens before the eventuality V0. the eventuality V? happens although the eventuality V0. What is the eventuality V? ?,"<span style=""color:red;"">PersonX would rather not be cut</span> happens before <span style=""color:red;"">the eventuality V0</span>. <span style=""color:red;"">the eventuality V?</span> happens although <span style=""color:red;"">the eventuality V0</span>. What is the eventuality V? ?",PersonX would rather not be cut and it probably do not make a huge difference share significant difference regarding some property. PersonX would rather not be cut happens before it probably do not make a huge difference. PersonX wan na play happens although it probably do not make a huge difference.,"<span style=""color:red;"">PersonX would rather not be cut</span> and <span style=""color:red;"">it probably do not make a huge difference</span> share significant difference regarding some property. <span style=""color:red;"">PersonX would rather not be cut</span> happens before <span style=""color:red;"">it probably do not make a huge difference</span>. <span style=""color:red;"">PersonX wan na play</span> happens although <span style=""color:red;"">it probably do not make a huge difference</span>.",no,no
30,"(p,(Concession),(p,(Precedence),(e,(PersonX would rather not be cut))))",PersonY wan na play,"['PersonX would rather not be cut', 'it probably do not make a huge difference', 'PersonY wan na play']",20220401-144420_q30.png,20220401-144420_a30.png,Concession,2p,PersonX would rather not be cut happens before the eventuality V0. the eventuality V? happens although the eventuality V0. What is the eventuality V? ?,"<span style=""color:red;"">PersonX would rather not be cut</span> happens before <span style=""color:red;"">the eventuality V0</span>. <span style=""color:red;"">the eventuality V?</span> happens although <span style=""color:red;"">the eventuality V0</span>. What is the eventuality V? ?",PersonX would rather not be cut and it probably do not make a huge difference share significant difference regarding some property. PersonX would rather not be cut happens before it probably do not make a huge difference. PersonY wan na play happens although it probably do not make a huge difference.,"<span style=""color:red;"">PersonX would rather not be cut</span> and <span style=""color:red;"">it probably do not make a huge difference</span> share significant difference regarding some property. <span style=""color:red;"">PersonX would rather not be cut</span> happens before <span style=""color:red;"">it probably do not make a huge difference</span>. <span style=""color:red;"">PersonY wan na play</span> happens although <span style=""color:red;"">it probably do not make a huge difference</span>.",yes,no
31,"(p,(Reason),(p,(Result),(e,(PeopleX do not want to do it for reason))))",PeopleX do not want to alienate anyone,"['PeopleX do not want to do it for reason', 'PeopleX will not do it', 'PeopleX do not want to alienate anyone']",20220401-144420_q31.png,20220401-144420_a31.png,Result,2p,PeopleX do not want to do it for reason result in the eventuality V0. the eventuality V0 happens because the eventuality V?. What is the eventuality V? ?,"<span style=""color:red;"">PeopleX do not want to do it for reason</span> result in <span style=""color:red;"">the eventuality V0</span>. <span style=""color:red;"">the eventuality V0</span> happens because <span style=""color:red;"">the eventuality V?</span>. What is the eventuality V? ?",PeopleX will not do it happens because PeopleX do not want to alienate anyone. PeopleX do not want to do it for reason result in PeopleX will not do it.,"<span style=""color:red;"">PeopleX will not do it</span> happens because <span style=""color:red;"">PeopleX do not want to alienate anyone</span>. <span style=""color:red;"">PeopleX do not want to do it for reason</span> result in <span style=""color:red;"">PeopleX will not do it</span>.",no,no
32,"(p,(Reason),(p,(Result),(e,(PeopleX do not want to do it for reason))))",PeopleX do not want to show,"['PeopleX do not want to do it for reason', 'PeopleX will not do it', 'PeopleX do not want to show']",20220401-144420_q32.png,20220401-144420_a32.png,Result,2p,PeopleX do not want to do it for reason result in the eventuality V0. the eventuality V0 happens because the eventuality V?. What is the eventuality V? ?,"<span style=""color:red;"">PeopleX do not want to do it for reason</span> result in <span style=""color:red;"">the eventuality V0</span>. <span style=""color:red;"">the eventuality V0</span> happens because <span style=""color:red;"">the eventuality V?</span>. What is the eventuality V? ?",PeopleX will not do it happens because PeopleX do not want to show. PeopleX do not want to do it for reason result in PeopleX will not do it.,"<span style=""color:red;"">PeopleX will not do it</span> happens because <span style=""color:red;"">PeopleX do not want to show</span>. <span style=""color:red;"">PeopleX do not want to do it for reason</span> result in <span style=""color:red;"">PeopleX will not do it</span>.",no,no
33,"(p,(Reason),(p,(Result),(e,(PeopleX do not want to do it for reason))))",PeopleX can not get it,"['PeopleX do not want to do it for reason', 'PeopleX will not do it', 'PeopleX can not get it']",20220401-144420_q33.png,20220401-144420_a33.png,Result,2p,PeopleX do not want to do it for reason result in the eventuality V0. the eventuality V0 happens because the eventuality V?. What is the eventuality V? ?,"<span style=""color:red;"">PeopleX do not want to do it for reason</span> result in <span style=""color:red;"">the eventuality V0</span>. <span style=""color:red;"">the eventuality V0</span> happens because <span style=""color:red;"">the eventuality V?</span>. What is the eventuality V? ?","PeopleX will not do it happens because PeopleX can not get it. When PeopleX can not get it happens, PeopleX will not do it can happen. PeopleX do not want to do it for reason result in PeopleX will not do it.","<span style=""color:red;"">PeopleX will not do it</span> happens because <span style=""color:red;"">PeopleX can not get it</span>. When <span style=""color:red;"">PeopleX can not get it</span> happens, <span style=""color:red;"">PeopleX will not do it</span> can happen. <span style=""color:red;"">PeopleX do not want to do it for reason</span> result in <span style=""color:red;"">PeopleX will not do it</span>.",no,no
34,"(p,(Condition),(p,(Concession),(e,(the hall have a balcony))))",PersonX do not build it,"['the hall have a balcony', 'it can not be use', 'PersonX do not build it']",20220401-144420_q34.png,20220401-144420_a34.png,Concession,2p,"the eventuality V0 happens although the hall have a balcony. When the eventuality V? happens, the eventuality V0 can happen. What is the eventuality V? ?","<span style=""color:red;"">the eventuality V0</span> happens although <span style=""color:red;"">the hall have a balcony</span>. When <span style=""color:red;"">the eventuality V?</span> happens, <span style=""color:red;"">the eventuality V0</span> can happen. What is the eventuality V? ?","When PersonX do not build it happens, it can not be use can happen. it can not be use happens although the hall have a balcony.","When <span style=""color:red;"">PersonX do not build it</span> happens, <span style=""color:red;"">it can not be use</span> can happen. <span style=""color:red;"">it can not be use</span> happens although <span style=""color:red;"">the hall have a balcony</span>.",no,yes
35,"(p,(Condition),(p,(Concession),(e,(the hall have a balcony))))",PersonY do not build it,"['the hall have a balcony', 'it can not be use', 'PersonY do not build it']",20220401-144420_q35.png,20220401-144420_a35.png,Concession,2p,"the eventuality V0 happens although the hall have a balcony. When the eventuality V? happens, the eventuality V0 can happen. What is the eventuality V? ?","<span style=""color:red;"">the eventuality V0</span> happens although <span style=""color:red;"">the hall have a balcony</span>. When <span style=""color:red;"">the eventuality V?</span> happens, <span style=""color:red;"">the eventuality V0</span> can happen. What is the eventuality V? ?","When PersonY do not build it happens, it can not be use can happen. it can not be use happens although the hall have a balcony.","When <span style=""color:red;"">PersonY do not build it</span> happens, <span style=""color:red;"">it can not be use</span> can happen. <span style=""color:red;"">it can not be use</span> happens although <span style=""color:red;"">the hall have a balcony</span>.",no,yes
36,"(p,(Succession),(p,(Precedence),(e,(PersonX will work on report))))",PersonX get more info,"['PersonX will work on report', 'PersonX check back with PersonY', 'PersonX get more info']",20220401-144420_q36.png,20220401-144420_a36.png,Precedence,2p,PersonX will work on report happens before the eventuality V0. the eventuality V0 happens after the eventuality V?. What is the eventuality V? ?,"<span style=""color:red;"">PersonX will work on report</span> happens before <span style=""color:red;"">the eventuality V0</span>. <span style=""color:red;"">the eventuality V0</span> happens after <span style=""color:red;"">the eventuality V?</span>. What is the eventuality V? ?",PersonX check back with PersonY happens after PersonX get more info. PersonX will work on report happens before PersonX check back with PersonY.,"<span style=""color:red;"">PersonX check back with PersonY</span> happens after <span style=""color:red;"">PersonX get more info</span>. <span style=""color:red;"">PersonX will work on report</span> happens before <span style=""color:red;"">PersonX check back with PersonY</span>.",yes,yes
37,"(p,(Restatement),(p,(Reason),(e,(PersonX walk down))))",PersonX deserve credit,"['PersonX walk down', 'PeopleX keep a eye on PersonX', 'PersonX deserve credit']",20220401-144420_q37.png,20220401-144420_a37.png,Restatement,2p,PersonX walk down happens because the eventuality V0. the eventuality V? restates the eventuality V0. What is the eventuality V? ?,"<span style=""color:red;"">PersonX walk down</span> happens because <span style=""color:red;"">the eventuality V0</span>. <span style=""color:red;"">the eventuality V?</span> restates <span style=""color:red;"">the eventuality V0</span>. What is the eventuality V? ?",PersonX deserve credit restates PeopleX keep a eye on PersonX. PersonX walk down happens because PeopleX keep a eye on PersonX.,"<span style=""color:red;"">PersonX deserve credit</span> restates <span style=""color:red;"">PeopleX keep a eye on PersonX</span>. <span style=""color:red;"">PersonX walk down</span> happens because <span style=""color:red;"">PeopleX keep a eye on PersonX</span>.",no,yes
